Country,Avg_stri,Unemployment,Tariff_rate,Gdp_Growth,Fdi_Inflows,Fdi_Outflows,Import/Export,T_Union
Australia,18.86363636363636,5.2979998588562,0.86,2.94033358170461,4.28855885423485,0.0445671490699692,94.7803257114253,13.7
Austria,25.428571428571434,4.84800004959106,1.69,2.41976363780752,0.926966322811721,1.60159189460122,93.43664626111354,26.3
Belgium,26.227272727272727,5.94799995422363,1.69,1.45840535284985,-10.0944865330012,-8.40087673209089,100.17621150347719,50.3
Brazil,32.272727272727266,12.3339996337891,7.95,1.31722399870793,4.14549439380117,0.107376736594267,93.70380245239963,24.08888888888889
Canada,21.31818181818182,5.83099985122681,1.47,1.89697475634192,2.71649159426255,3.08103598365069,106.12659581791169,25.9
Chile,20.272727272727273,7.23299980163574,0.49,4.02465296525456,2.03943200885398,0.653400070168174,99.21532297360292,18.0
China,44.49999999999999,4.27600002288818,3.39,6.56697385961871,1.72958864934452,1.05103601213865,96.1176502444342,24.08888888888889
Colombia,24.04545454545455,9.11100006103516,3.28,2.56922098807335,3.48443528450487,1.54851640407705,116.50072705218052,24.08888888888889
Costa Rica,25.000000000000007,9.63199996948242,1.8,2.63398496797504,4.59653013088984,0.965827012032983,96.11114578634546,24.08888888888889
Czech Republic,16.476190476190478,2.24300003051758,1.69,2.95778447296561,3.39469402369252,2.47931566333909,91.83063903847639,11.5
Denmark,18.272727272727273,4.97499990463257,1.69,2.39132968541817,0.327884742018437,0.148183458277501,89.19110256582104,66.5
Estonia,23.0,5.36600017547607,1.69,4.76115846853359,3.8402654097284,-0.784057632742758,95.25847912158618,4.3
Finland,23.5,7.36100006103516,1.69,1.67143888071415,-3.82728224383239,1.11600819895506,101.8734453941379,60.3
France,21.045454545454554,9.05900001525879,1.69,1.72488062714211,2.15506806480351,4.54440063921827,103.39514265519834,8.8
Germany,17.454545454545453,3.3840000629425,1.69,1.52744629830981,4.25461217860669,4.49587478931307,86.94109895831508,16.5
Greece,25.954545454545453,19.2919998168945,1.69,1.93437082746027,1.84626598754764,0.238296955975478,104.80683753665788,20.0
Hungary,26.190476190476193,3.70799994468689,1.69,5.09400256449817,-41.5081972891282,-43.535356885777,94.79239344860503,7.9
Iceland,38.476190476190474,2.7039999961853,2.2024390243902436,4.61147602956513,-2.36646174130328,-0.490101387270432,93.59580236919103,91.8
India,48.86363636363637,5.32999992370605,4.88,6.81136932613997,1.54915773804552,0.419967417348678,119.7224052701248,24.08888888888889
Indonesia,46.090909090909086,4.51100015640259,2.0,5.17127032830882,1.81446080341533,0.614026047795686,103.16770407708242,24.08888888888889
Ireland,17.31818181818182,5.73999977111816,1.69,8.16987093310331,16.8726514149041,24.6700303655928,72.80589359220318,24.1
Israel,32.272727272727266,3.99799990653992,2.2024390243902436,3.45370251802824,5.60962612971779,1.65053924495372,98.63044175769015,25.0
Italy,27.380952380952383,10.6099996566772,1.69,0.77434001307563,1.90095384386129,1.9117869262971,91.99541228778074,34.4
Japan,20.090909090909097,2.40000009536743,2.45,0.788455875670337,0.494956985487603,3.18556190602105,99.57167335086076,17.0
"Korea, Rep.",29.04545454545454,3.84800004959106,4.83,2.66831140171185,0.752279961766712,2.36012354101,88.94197363085388,10.5
Latvia,16.40909090909091,7.41200017929077,1.69,4.62077695023,1.29902819789044,-0.987255249506451,100.26314442303261,11.9
Lithuania,17.590909090909093,6.14699983596802,1.69,3.64475653175535,1.62393741894618,1.52229598668222,96.341544899061,7.1
Luxembourg,22.571428571428577,5.58500003814697,1.69,3.11083626560442,-7.92129140628296,1.93661171021801,81.0203628166761,31.8
Malaysia,34.63636363636364,3.34999990463257,2.2024390243902436,4.74160645035721,2.3899960384465,1.59415378544693,89.8029243133996,24.08888888888889
Mexico,35.13636363636363,3.28299999237061,1.21,2.13595812119722,3.16575262740965,0.951143322307711,104.73511339432994,12.0
Netherlands,16.045454545454543,3.82999992370605,1.69,2.59745361827454,-26.1954570769449,-24.7900205998991,87.35551513046428,16.4
New Zealand,21.409090909090907,4.2979998588562,2.2024390243902436,2.77357101506234,1.03885197632331,0.312178411280189,99.87898584355143,18.8
Norway,25.590909090909093,3.79999995231628,3.2,1.28954820126177,-1.52798653771372,2.26979986586331,84.83586064592339,49.2
Poland,27.409090909090917,3.84500002861023,1.69,5.14801848357114,2.85095298315748,0.325784170321883,93.86877424669999,10.0
Portugal,20.227272727272727,6.99300003051758,1.69,2.44126692937017,3.24740610282756,0.602221568427843,98.34946799499137,14.0
Russian Federation,43.81818181818182,4.84600019454956,3.51,2.25480434572114,0.529988559659577,1.89296202414514,67.6044767362693,24.08888888888889
Slovak Republic,22.61904761904762,6.53599977493286,1.69,4.03370304338463,2.4096332473905,1.54121138379381,99.14621034665693,8.0
Slovenia,24.727272727272727,5.10799980163574,1.69,4.11821785906514,2.82154073245912,0.806817796055456,90.24792318467483,19.0
South Africa,28.863636363636363,26.9200000762939,4.32,0.787055570495099,1.5122534914178,1.09342450263511,98.94752323005024,24.08888888888889
Spain,20.0,15.2550001144409,1.69,2.35100813140505,3.45826998587425,2.14684395727518,92.28756735576447,13.6
Sweden,21.409090909090914,6.34600019454956,1.69,2.22523861239767,-0.327343250620435,2.05234818139295,96.03011216234316,64.9
Switzerland,29.2857142857143,4.71299982070923,1.7,2.75051698095396,-10.8092827750129,5.45027916931781,82.44040030252444,15.0
Thailand,48.59090909090909,0.765999972820282,2.2024390243902436,4.12922610260051,2.61491022986301,4.20768901122295,86.32846260355555,24.08888888888889
Turkey,35.0,10.8900003433228,2.5,2.82677612033162,1.68833790377889,0.473066498570926,104.06586755879832,9.2
United Kingdom,18.272727272727273,3.99600005149841,1.69,1.38567356958762,2.8423984408773,1.97514575498512,104.51768714406344,23.4
United States,22.727272727272723,3.89599990844727,1.59,2.92732272821085,1.25771845930057,-0.381886138948434,125.09438073325724,10.1
